file,sync,conv_slope,EI,conv_pos,scene,subject_id,dur,pleasure,arousal,dominance
neutral_S01,0.7289297975798328,0.0144094333485041,0.1167409696340641,-0.0144094333485041,neutral,1,763.0469999999999,1.0,0.0,4.0
neutral_S02,0.7448028162338802,0.0166043609818654,-0.3550280979971594,-0.0166043609818654,neutral,2,622.645,2.0,-3.0,-2.0
neutral_S03,0.7787781952379255,-0.004836469593115,0.1834708692601691,0.004836469593115,neutral,3,724.27,1.0,-1.0,2.0
neutral_S06,0.7608470670134391,0.0069309016272198,-0.1776012797391815,-0.0069309016272198,neutral,6,878.315,4.0,2.0,3.0
neutral_S07,0.7740059429396539,0.0009092216118924,-0.4548266300090511,-0.0009092216118924,neutral,7,734.641,-1.0,0.0,2.0
neutral_S08,0.7712188950637896,0.0242493690293403,-0.2699948569980523,-0.0242493690293403,neutral,8,675.543,-1.0,-1.0,-2.0
neutral_S11,0.750810657751882,0.0226847007713043,0.20120164523261,-0.0226847007713043,neutral,11,652.6919999999999,1.0,-1.0,0.0
neutral_S12,0.7555298214694756,0.0083709080058392,0.6124385531223814,-0.0083709080058392,neutral,12,912.611,3.0,3.0,2.0
neutral_S15,0.7624834973385167,0.0023107405486679,-0.4825588201493935,-0.0023107405486679,neutral,15,1176.001,2.0,1.0,0.0
neutral_S19,0.7733649871528124,0.0106495647337478,-0.0872194372644656,-0.0106495647337478,neutral,19,628.493,0.0,-1.0,-2.0
neutral_S26,0.7792842137153907,-0.0296332644854973,0.1902798751526667,0.0296332644854973,neutral,26,772.06,0.0,-1.0,3.0
neutral_S28,0.7421094283333165,-0.0148028445952459,0.3087736126975356,0.0148028445952459,neutral,28,664.828,0.0,-1.0,0.0
neutral_S32,0.7612127579594222,0.0094542491076002,-0.4350099567590273,-0.0094542491076002,neutral,32,665.476,1.0,2.0,0.0
neutral_S33,0.7883320827482567,0.0024020319809247,-0.4823009090419333,-0.0024020319809247,neutral,33,1157.197,0.0,0.0,-1.0
neutral_S34,0.7461837235979036,-0.0026021779098045,-0.1515209271114549,0.0026021779098045,neutral,34,1090.304,2.0,2.0,1.0
neutral_S36,0.7829341779139098,0.0018556461939926,-0.5605736183416531,-0.0018556461939926,neutral,36,880.95,3.0,2.0,1.0
neutral_S38,0.7864326652943545,-0.0113933917618366,0.3074769925819309,0.0113933917618366,neutral,38,674.958,2.0,-1.0,0.0
neutral_S39,0.7986210062209039,-0.0148334031816972,0.5230620037353941,0.0148334031816972,neutral,39,684.311,1.0,0.0,-1.0
neutral_S40,0.8035723158083853,0.0260929597305269,-0.5049550631775009,-0.0260929597305269,neutral,40,761.784,2.0,2.0,3.0
neutral_S05,0.7325582077857377,-0.0016285137858349,-0.4685290900352562,0.0016285137858349,neutral,5,890.904,-1.0,2.0,3.0
neutral_S09,0.769898484556419,0.008805198760769,-0.0257563066963941,-0.008805198760769,neutral,9,823.931,0.0,-1.0,-3.0
neutral_S10,0.780353341746909,-3.455618276538563e-05,-0.1000901436979833,3.455618276538563e-05,neutral,10,942.46,2.0,1.0,0.0
neutral_S13,0.7734315344265561,-0.0012944407982966,0.0751832144995952,0.0012944407982966,neutral,13,610.4250000000001,0.0,0.0,0.0
neutral_S14,0.823841475862881,0.0558632035014658,0.3198731582932002,-0.0558632035014658,neutral,14,863.778,0.0,-4.0,0.0
neutral_S17,0.7867450430525575,0.0030795187900645,0.2311726095456521,-0.0030795187900645,neutral,17,948.326,2.0,2.0,1.0
neutral_S18,0.7771932741761415,0.001409004574748,-0.4192599232239663,-0.001409004574748,neutral,18,720.601,0.0,-4.0,1.0
neutral_S20,0.7522733783445812,-0.0249948898647646,0.5709709182158191,0.0249948898647646,neutral,20,665.61,-1.0,0.0,0.0
neutral_S21,0.774028455746706,-0.0244217994665294,0.6659401326742718,0.0244217994665294,neutral,21,667.918,2.0,1.0,0.0
neutral_S22,0.7894520076318394,-0.0094587839094735,0.0543648223959036,0.0094587839094735,neutral,22,909.949,2.0,2.0,2.0
neutral_S23,0.8010055350223863,0.0136024659027298,-0.380839363799161,-0.0136024659027298,neutral,23,730.611,0.0,0.0,-2.0
neutral_S24,0.7562530390309793,0.0240510693405856,-0.1629720972442971,-0.0240510693405856,neutral,24,675.18,2.0,2.0,0.0
neutral_S25,0.7452986268782863,-0.0044921227002948,-0.1675480752926181,0.0044921227002948,neutral,25,581.119,0.0,-3.0,-3.0
neutral_S27,0.7747506406520439,0.0186701648475,-0.046223931077238,-0.0186701648475,neutral,27,587.3829999999999,0.0,-1.0,2.0
neutral_S29,0.7408456407315022,0.0162439657054431,-0.2825696486572269,-0.0162439657054431,neutral,29,731.669,1.0,1.0,2.0
neutral_S30,0.765887672068786,0.0026968854337343,-0.0782035407797529,-0.0026968854337343,neutral,30,664.953,-1.0,0.0,2.0
neutral_S31,0.7485164592221455,0.0088273445919075,0.1978965990651707,-0.0088273445919075,neutral,31,717.381,0.0,1.0,1.0
neutral_S35,0.7631819192603629,-0.0035872813846657,-0.2838998196603724,0.0035872813846657,neutral,35,1051.7669999999998,2.0,0.0,0.0
neutral_S37,0.7589732732381492,0.0009030492403737,0.0754827526230955,-0.0009030492403737,neutral,37,775.2320000000001,0.0,-1.0,-1.0
arguing_S01,0.7473137530400362,-0.020242805975564,-0.0403924440266889,0.020242805975564,arguing,1,710.848,-2.0,2.0,0.0
arguing_S02,0.7549116582235535,-0.0259606133352368,0.3801847129053032,0.0259606133352368,arguing,2,612.0509999999999,-2.0,-2.0,1.0
arguing_S03,0.7528487243629315,-0.0096465045842203,0.098238685402442,0.0096465045842203,arguing,3,866.361,-1.0,2.0,-3.0
arguing_S06,0.7749443855988494,-0.0154448449858723,0.4081833416466085,0.0154448449858723,arguing,6,670.794,-2.0,2.0,2.0
arguing_S07,0.7510317217106377,-0.0120331874377771,-0.1224075955150601,0.0120331874377771,arguing,7,830.517,-2.0,2.0,3.0
arguing_S08,0.7541342538929645,-0.0626936538966674,0.4504547310653382,0.0626936538966674,arguing,8,603.272,-1.0,-1.0,2.0
arguing_S11,0.7467396077732006,-0.0355260004570565,0.0979525665247007,0.0355260004570565,arguing,11,632.052,-1.0,1.0,-1.0
arguing_S12,0.7666080355001529,0.0032772196875509,-0.1659712760164559,-0.0032772196875509,arguing,12,834.667,-3.0,3.0,-1.0
arguing_S15,0.7461815963282383,0.0056630121817482,-0.0761463007888203,-0.0056630121817482,arguing,15,783.773,-3.0,4.0,4.0
arguing_S19,0.7284281002657735,0.0097210232352548,-0.3458853445047636,-0.0097210232352548,arguing,19,633.961,-1.0,-1.0,-1.0
arguing_S26,0.7534646437993603,-0.0227950830683616,0.122371937371496,0.0227950830683616,arguing,26,790.772,0.0,-3.0,0.0
arguing_S28,0.7278612553270154,-0.0303008716333438,0.2798806824255033,0.0303008716333438,arguing,28,656.27,0.0,-1.0,-2.0
arguing_S32,0.7802042099633403,-0.0054531242450906,0.0394901914620365,0.0054531242450906,arguing,32,613.998,-2.0,1.0,-2.0
arguing_S33,0.7795814055294048,0.0004378917233364,-0.0248527704901162,-0.0004378917233364,arguing,33,925.127,-2.0,1.0,0.0
arguing_S34,0.7601245762537452,-0.0054814797138632,0.2881062463666801,0.0054814797138632,arguing,34,961.467,2.0,0.0,2.0
arguing_S36,0.7891024274524402,0.008640796104729,0.1599033770246968,-0.008640796104729,arguing,36,667.2289999999999,0.0,-1.0,1.0
arguing_S38,0.7691911713486888,-0.0011933253504847,0.1587637781303347,0.0011933253504847,arguing,38,611.89,-1.0,-2.0,0.0
arguing_S39,0.7462852355131784,-0.0180296495345269,0.6702338921147034,0.0180296495345269,arguing,39,645.2900000000001,-2.0,2.0,0.0
arguing_S40,0.6892952160845981,0.0011964935890817,-0.3368570265019066,-0.0011964935890817,arguing,40,626.746,-2.0,4.0,-1.0
arguing_S05,0.7614440344698011,0.0093575094316823,-0.3015725382957451,-0.0093575094316823,arguing,5,771.115,-2.0,2.0,0.0
arguing_S09,0.7841221502920249,-0.0047394091019825,-0.1963786547053326,0.0047394091019825,arguing,9,798.115,0.0,-2.0,0.0
arguing_S13,0.7558972407567364,-0.0105534632851366,0.4685675044365098,0.0105534632851366,arguing,13,667.742,-1.0,1.0,0.0
arguing_S14,0.7621701587489653,0.0168312860673145,-0.4267647026918832,-0.0168312860673145,arguing,14,673.3839999999999,-1.0,-2.0,0.0
arguing_S17,0.7453915566105437,0.011242528856271,0.1630388848071573,-0.011242528856271,arguing,17,834.318,1.0,2.0,1.0
arguing_S18,0.7318626335884109,0.0106540512831775,0.3105671117352773,-0.0106540512831775,arguing,18,604.116,-1.0,0.0,1.0
arguing_S20,0.7517377495635487,-0.0154443890408298,-0.2871207618009701,0.0154443890408298,arguing,20,945.75,-4.0,3.0,0.0
arguing_S21,0.7636749212393603,-0.0138450560896976,-0.3148436352461875,0.0138450560896976,arguing,21,728.954,-2.0,1.0,0.0
arguing_S22,0.7561899027790541,-0.0376856588109469,-0.2930666211011706,0.0376856588109469,arguing,22,599.3560000000001,1.0,-1.0,0.0
arguing_S23,0.7585889437818765,-0.0011289575274321,-0.086077067234448,0.0011289575274321,arguing,23,666.778,-1.0,1.0,-1.0
arguing_S24,0.7623209959989302,-0.0627684548027587,-0.0124271561183984,0.0627684548027587,arguing,24,609.648,-1.0,1.0,1.0
arguing_S25,0.7523621299193203,-0.0111149917923991,0.1445154954279514,0.0111149917923991,arguing,25,588.175,0.0,-4.0,-1.0
arguing_S27,0.7511479800500783,-0.0270922729154392,0.6343536923944932,0.0270922729154392,arguing,27,1079.204,-2.0,1.0,0.0
arguing_S29,0.7664005809835388,-0.0171738472864733,-0.3178335167585916,0.0171738472864733,arguing,29,787.8,-2.0,2.0,1.0
arguing_S30,0.7482438654115696,-0.0162851041599863,-0.438731300769147,0.0162851041599863,arguing,30,910.314,0.0,0.0,0.0
arguing_S31,0.7314113421593949,-0.0092126147810088,-0.2307732469961552,0.0092126147810088,arguing,31,661.391,-2.0,3.0,-2.0
arguing_S35,0.7565838731718441,-0.0046961187942807,-0.0912620661276517,0.0046961187942807,arguing,35,885.3580000000001,-1.0,1.0,0.0
arguing_S37,0.7430700491868699,0.0063918222712572,-0.0373527454381204,-0.0063918222712572,arguing,37,715.208,0.0,-1.0,-2.0
arguing_S16,0.7638729616108211,-0.0248043357236109,-0.1928756501108409,0.0248043357236109,arguing,16,907.863,-1.0,0.0,0.0
comforting_S01,0.7317115950542388,0.0079548113783303,-0.4814635200258134,-0.0079548113783303,comforting,1,897.9,-2.0,3.0,3.0
comforting_S02,0.7388571295041735,-0.0005689161930157,0.1746418019951124,0.0005689161930157,comforting,2,599.1809999999999,-1.0,-2.0,1.0
comforting_S03,0.7257392207819106,-0.0035627799892286,-0.1346664428811879,0.0035627799892286,comforting,3,661.92,-2.0,1.0,-1.0
comforting_S06,0.7430698442129297,-0.0120638678994858,0.3031210741175635,0.0120638678994858,comforting,6,848.289,0.0,0.0,3.0
comforting_S07,0.7876270938528213,0.0001066662409839,-0.0215962933437563,-0.0001066662409839,comforting,7,516.47,-2.0,0.0,-2.0
comforting_S08,0.7851487183249095,-0.0107179959243371,0.1629994428050579,0.0107179959243371,comforting,8,618.832,-1.0,0.0,-3.0
comforting_S11,0.7624094263016555,-0.0212422728868342,-0.0380941581412274,0.0212422728868342,comforting,11,618.75,-3.0,2.0,2.0
comforting_S12,0.7230781855715327,0.0005917104054062,-0.7034808273290499,-0.0005917104054062,comforting,12,851.9119999999999,0.0,2.0,-1.0
comforting_S15,0.7569720923925217,-0.0034331153028481,0.4609225312946261,0.0034331153028481,comforting,15,1451.03,1.0,-2.0,0.0
comforting_S19,0.7242979078238899,0.0135429691040629,-0.2824129385476494,-0.0135429691040629,comforting,19,623.85,-3.0,0.0,-1.0
comforting_S26,0.7358791565220799,-0.0100058347445935,-0.0357958377575896,0.0100058347445935,comforting,26,713.537,-2.0,-1.0,3.0
comforting_S28,0.7428862500027068,0.0237801553410564,-0.5772682464011246,-0.0237801553410564,comforting,28,645.448,-1.0,-1.0,1.0
comforting_S32,0.7197798249233768,-0.0214036824864074,0.3294912595569632,0.0214036824864074,comforting,32,623.242,0.0,1.0,0.0
comforting_S33,0.7710545370213826,0.0095972701025144,-0.3222169472375916,-0.0095972701025144,comforting,33,918.69,-1.0,1.0,0.0
comforting_S34,0.7748151155546995,0.0038675681477556,0.2459563815995107,-0.0038675681477556,comforting,34,946.9,-2.0,2.0,0.0
comforting_S36,0.7367234908856122,-0.0075989040202408,0.9245392946079442,0.0075989040202408,comforting,36,914.03,2.0,1.0,-1.0
comforting_S38,0.779460491561327,0.0172839852404136,0.7487067660525324,-0.0172839852404136,comforting,38,614.37,-2.0,0.0,0.0
comforting_S39,0.7702004190383445,0.0013703805287268,-0.333888015216101,-0.0013703805287268,comforting,39,646.89,-2.0,0.0,1.0
comforting_S40,0.7812181206383312,0.0009575603355705,-0.4250017175064286,-0.0009575603355705,comforting,40,711.405,-2.0,3.0,-1.0
comforting_S05,0.7513851323524577,0.0110517809968486,0.3971378590819851,-0.0110517809968486,comforting,5,918.63,-1.0,0.0,2.0
comforting_S09,0.7359956815356619,0.0219766153413925,0.3302421756546218,-0.0219766153413925,comforting,9,726.602,-2.0,-2.0,-1.0
comforting_S10,0.7539103855785959,0.0016766537467425,-0.2963311662155263,-0.0016766537467425,comforting,10,901.616,-2.0,2.0,1.0
comforting_S13,0.7677658164137449,-0.0051688152088492,0.5099721687169578,0.0051688152088492,comforting,13,671.563,-3.0,2.0,-1.0
comforting_S14,0.7854907536186445,-0.0142328327479026,-0.3331932729283137,0.0142328327479026,comforting,14,634.66,-1.0,-2.0,0.0
comforting_S17,0.7340417460480979,-0.0205053315678857,0.1489389160260119,0.0205053315678857,comforting,17,927.879,0.0,1.0,1.0
comforting_S18,0.7159583229048343,0.0010910623471622,0.150204446850228,-0.0010910623471622,comforting,18,624.615,-2.0,1.0,1.0
comforting_S20,0.7634645156366502,0.0053321394582535,0.117853407448484,-0.0053321394582535,comforting,20,744.35,-2.0,1.0,-2.0
comforting_S22,0.7573672759902905,-0.0002691658718185,-0.3049354023408537,0.0002691658718185,comforting,22,758.6460000000001,-2.0,3.0,3.0
comforting_S23,0.70933114341765,-0.0035912960013925,-0.1487210126567265,0.0035912960013925,comforting,23,695.58,-2.0,2.0,-2.0
comforting_S24,0.794321700981055,0.032915369457094,-0.173239262861605,-0.032915369457094,comforting,24,616.56,1.0,1.0,-2.0
comforting_S25,0.7510409862731803,-0.003859353372144,-0.6589342098837782,0.003859353372144,comforting,25,698.5,0.0,-3.0,-1.0
comforting_S27,0.7701276561294251,-0.0045415474673272,0.5573798940120156,0.0045415474673272,comforting,27,726.174,-1.0,0.0,0.0
comforting_S29,0.7499191982649204,-0.0072440257338464,-0.0435557601917625,0.0072440257338464,comforting,29,662.679,0.0,-2.0,1.0
comforting_S30,0.7681316590132745,-0.0305202055926163,0.2019460468580637,0.0305202055926163,comforting,30,904.56,-2.0,2.0,0.0
comforting_S31,0.7480981287837188,0.0298894188133601,-0.0444158499477477,-0.0298894188133601,comforting,31,657.48,0.0,3.0,0.0
comforting_S35,0.7552133714295928,0.008243150332004,-0.2893111002889169,-0.008243150332004,comforting,35,742.51,-2.0,2.0,-2.0
comforting_S37,0.7422759069566379,-0.0009892242034959,0.2724735601566793,0.0009892242034959,comforting,37,1087.79,-2.0,-2.0,0.0
comforting_S21,0.7786918032464485,0.0028016515833053,0.5366375704148787,-0.0028016515833053,comforting,21,913.564,-2.0,1.0,1.0
comforting_S16,0.7425425009044986,-0.0013378416215878,0.2556944323434777,0.0013378416215878,comforting,16,942.44,0.0,1.0,-2.0
